studentId,class
1,9E
2,4F
3,6B
4,10G
5,7R
6,6G
7,10E
8,7P
9,4W
10,8T
11,3T
12,11C
13,3T
14,6A
15,5L
16,7W
17,1Y
18,3O
19,12Y
20,7F
21,3V
22,4G
23,5V
24,5I
25,10F
26,8Q
27,5Y
28,8F
29,10E
30,3J
31,10G
32,9K
33,12G
34,4M
35,6V
36,11V
37,1J
38,8W
39,7X
40,8B
41,12N
42,4M
43,5Q
44,7F
45,5M
46,1D
47,4K
48,4C
49,12A
50,4Z
51,2B
52,5S
53,11G
54,3T
55,8U
56,5M
57,5H
58,3A
59,6N
60,10C
61,10R
62,3M
63,7N
64,3I
65,4K
66,11K
67,8T
68,4Y
69,3U
70,5Q
71,10P
72,6H
73,10F
74,9N
75,11W
76,3E
77,5Z
78,5E
79,8N
80,2C
81,11R
82,6D
83,3T
84,3Z
85,9Z
86,11S
87,9H
88,6J
89,2X
90,3U
91,6B
92,10V
93,1K
94,4H
95,9P
96,7R
97,4I
98,4R
99,6F
100,5G
101,8H
102,5C
103,3J
104,11K
105,2T
106,5F
107,10T
108,12M
109,10L
110,6H
111,8X
112,1P
113,7A
114,9R
115,10N
116,9Q
117,6B
118,5Z
119,8C
120,8X
121,9H
122,9D
123,4L
124,12M
125,4G
126,4M
127,6G
128,3D
129,4B
130,8X
131,2H
132,7R
133,12Y
134,2F
135,12P
136,8T
137,7Z
138,12H
139,11V
140,6Q
141,3H
142,1T
143,5X
144,10N
145,5T
146,10H
147,5Q
148,4H
149,7H
150,7Z
151,10P
152,11G
153,6I
154,9G
155,7E
156,9Z
157,9H
158,6J
159,4N
160,4L
161,8I
162,5S
163,3V
164,2F
165,6I
166,9W
167,3A
168,10R
169,4N
170,2G
171,4J
172,5L
173,1L
174,11W
175,3W
176,7G
177,5C
178,8X
179,4D
180,12Z
181,11H
182,2E
183,6B
184,7E
185,4Z
186,12K
187,4V
188,10K
189,3E
190,7W
191,5S
192,1H
193,9W
194,9O
195,4Z
196,1S
197,6Y
198,5O
199,5L
200,4S
201,12Z
202,8O
203,11G
204,2A
205,11A
206,4B
207,6H
208,6B
209,10X
210,8K
211,1H
212,4Y
213,11G
214,4Y
215,3L
216,8F
217,4S
218,9V
219,11X
220,9L
221,9T
222,5M
223,12Q
224,8N
225,1Q
226,10N
227,1H
228,4P
229,2A
230,4E
231,5A
232,2V
233,4F
234,3I
235,2Q
236,10Q
237,10S
238,2V
239,4B
240,2M
241,10A
242,12L
243,2J
244,10D
245,7Q
246,3Q
247,5Z
248,6M
249,7A
250,4K
251,2L
252,3S
253,8S
254,3F
255,11S
256,6A
257,9P
258,3L
259,7W
260,3W
261,11H
262,7L
263,7G
264,11T
265,3Y
266,8Z
267,8B
268,5G
269,8Q
270,11P
271,3H
272,12M
273,1K
274,2W
275,2I
276,9K
277,2T
278,4J
279,12B
280,9R
281,9Y
282,11K
283,12V
284,7P
285,8O
286,9C
287,1B
288,10B
289,12E
290,11B
291,2P
292,3K
293,11I
294,4U
295,9R
296,1P
297,12N
298,12M
299,8D
300,4U
301,7N
302,3Z
303,12P
304,11Y
305,3K
306,7D
307,5S
308,10K
309,12J
310,8Z
311,5X
312,5K
313,4Z
314,3J
315,5H
316,4Q
317,7K
318,9P
319,9V
320,11Q
321,2D
322,6M
323,9L
324,8T
325,5D
326,2X
327,12Q
328,9T
329,6E
330,4H
331,3G
332,11Z
333,7C
334,10K
335,10P
336,8V
337,8V
338,1Z
339,5N
340,11J
341,4S
342,5T
343,9R
344,5K
345,2U
346,3O
347,12O
348,3X
349,4X
350,8H
351,6E
352,6B
353,12J
354,1X
355,4L
356,5C
357,12Z
358,3V
359,4N
360,6S
361,5G
362,12D
363,10H
364,8R
365,7N
366,6T
367,7Z
368,12X
369,8L
370,10M
371,2L
372,2J
373,4C
374,1W
375,10B
376,3M
377,8V
378,9O
379,9N
380,6X
381,11A
382,9C
383,7B
384,3T
385,9Q
386,4T
387,1G
388,9E
389,7P
390,11F
391,6W
392,5Q
393,6D
394,4H
395,6J
396,2N
397,9P
398,3Z
399,7C
400,1Q
401,4F
402,11J
403,9R
404,11B
405,11E
406,6B
407,1Y
408,4N
409,6O
410,9J
411,8V
412,11E
413,6L
414,1I
415,1Z
416,12Y
417,7G
418,5M
419,4S
420,8Y
421,11E
422,8A
423,8Q
424,1D
425,5X
426,3L
427,3Z
428,5L
429,2J
430,9C
431,7L
432,9Q
433,11J
434,5I
435,10C
436,2C
437,6R
438,8M
439,6J
440,12Z
441,8E
442,7U
443,9E
444,5F
445,12E
446,11N
447,3T
448,2X
449,10S
450,7A
451,12R
452,2A
453,7O
454,11V
455,5D
456,9J
457,3H
458,12M
459,5M
460,3R
461,9U
462,1X
463,10E
464,12G
465,12C
466,1D
467,9A
468,1B
469,11F
470,11P
471,5M
472,11B
473,12F
474,3U
475,3B
476,4I
477,9P
478,8H
479,11G
480,11O
481,6J
482,5P
483,12Y
484,1R
485,5V
486,6Y
487,6H
488,7V
489,7J
490,1L
491,6B
492,2W
493,1A
494,9E
495,7J
496,5U
497,12V
498,9Y
499,8N
500,1K
501,3R
502,8J
503,10U
504,11N
505,3Z
506,3A
507,2V
508,2F
509,1M
510,1L
511,5M
512,6A
513,10B
514,10N
515,10H
516,10B
517,3T
518,3W
519,3L
520,4F
521,4W
522,1N
523,3B
524,8Z
525,4Y
526,12R
527,1M
528,9L
529,5L
530,8Z
531,3V
532,7I
533,5V
534,10B
535,11U
536,9C
537,7B
538,6D
539,1B
540,12Y
541,12R
542,1Q
543,11W
544,7L
545,5W
546,4Y
547,2B
548,2N
549,8C
550,9D
551,2O
552,7Q
553,10C
554,8D
555,5D
556,10L
557,6M
558,1W
559,11Y
560,8U
561,3I
562,10Q
563,6W
564,10Y
565,10W
566,10M
567,5K
568,3V
569,4U
570,6V
571,10I
572,11A
573,11V
574,3R
575,3B
576,10V
577,11A
578,6R
579,5D
580,1J
581,7I
582,5G
583,10H
584,7T
585,8I
586,7U
587,3P
588,3R
589,8F
590,11T
591,5O
592,6Q
593,8K
594,9Z
595,1P
596,8M
597,6R
598,3N
599,10Y
600,8Z
601,4M
602,4N
603,11V
604,7T
605,1K
606,9C
607,10E
608,5I
609,6J
610,1Y
611,9A
612,3B
613,12W
614,6H
615,11O
616,4U
617,10A
618,7E
619,3A
620,4J
621,1N
622,12P
623,7O
624,9A
625,10D
626,3E
627,7N
628,7J
629,5X
630,2I
631,12P
632,11H
633,12D
634,4A
635,1N
636,6K
637,10Z
638,7A
639,3H
640,1G
641,3L
642,10T
643,6P
644,1E
645,2W
646,8B
647,11B
648,3G
649,6H
650,9I
651,2V
652,9O
653,5C
654,6Y
655,7C
656,5W
657,2I
658,4T
659,4Y
660,1C
661,8L
662,10Z
663,3N
664,2R
665,4V
666,7S
667,8W
668,11A
669,1A
670,3Y
671,10A
672,12P
673,8T
674,9D
675,2R
676,3O
677,3B
678,11R
679,10J
680,7L
681,4H
682,12K
683,6X
684,8N
685,8W
686,7T
687,12O
688,2N
689,8I
690,7Z
691,9J
692,4L
693,7F
694,9L
695,10M
696,1G
697,10I
698,4L
699,4Z
700,8X
701,7D
702,6M
703,5T
704,2P
705,11F
706,8B
707,11Z
708,1I
709,4F
710,12W
711,6T
712,11K
713,11Y
714,9E
715,6D
716,7S
717,2F
718,1X
719,5X
720,9D
721,9K
722,8G
723,11U
724,1R
725,5B
726,3L
727,9V
728,1Y
729,1Y
730,3P
731,6Y
732,2Y
733,9X
734,1J
735,4O
736,7C
737,7R
738,11A
739,8N
740,7C
741,6M
742,12L
743,6Y
744,10Q
745,8F
746,10F
747,4L
748,9E
749,8N
750,10A
751,10R
752,10O
753,7Y
754,11F
755,12J
756,8H
757,12M
758,8G
759,5B
760,1H
761,9I
762,7B
763,9G
764,10C
765,10P
766,8O
767,1Y
768,7D
769,6C
770,8S
771,9T
772,12H
773,1V
774,6R
775,11Z
776,4E
777,2D
778,1D
779,7H
780,2M
781,9O
782,6M
783,10J
784,6U
785,1M
786,5X
787,6F
788,10P
789,12H
790,5A
791,7N
792,12X
793,5X
794,11F
795,11A
796,5E
797,9Z
798,4C
799,1D
800,5Y
801,11S
802,1V
803,12D
804,8G
805,10I
806,5Z
807,11Q
808,12N
809,8N
810,6R
811,7U
812,3I
813,5R
814,12S
815,10K
816,11Y
817,2X
818,7S
819,3M
820,9B
821,10Y
822,11Z
823,12U
824,4J
825,5D
826,10X
827,2Z
828,10N
829,10D
830,12H
831,4L
